Class,Identifiers,Address,Type,Initial Value,Comment
VAR,S_EXP1_RL_P1_DESCE,Y1.2,BOOL,,RELÉ INTERFACE PRENSA DE ESTAMPO P1 DESCE
VAR,S_EXP1_RL_P2_SOBE,Y1.3,BOOL,,RELÉ INTERFACE PRENSA DE ESTAMPO P2 SOBE
VAR,S_EXP1_RL_P2_DESCE,Y1.4,BOOL,,RELÉ INTERFACE PRENSA DE ESTAMPO P2 DESCE
VAR,S_EXP1_RL_GUI_SOBE,Y1.5,BOOL,,RELÉ INTERFACE GUILHOTINA  SOBE
VAR,S_EXP1_RL_GUI_DESCE,Y1.6,BOOL,,RELÉ INTERFACE GUILHOTINA  DESCE
VAR,S_EXP1_RL_VENT_UNI,Y1.7,BOOL,,RELÉ INTERFACE VANTAGEM UNIDADE HIDRÁULICA
VAR,S_EXP1_RL_DESC_MESA1,Y1.8,BOOL,,RELÉ  INTERFACE DESCE MESA DE DESCARGA 1
VAR,S_EXP1_RL_DESC_MESA2,Y1.9,BOOL,,RELÉ INTERFACE DESCE MESA DE DESCARGA 1
VAR,S_EXP1_REARM_EMER,Y1.10,BOOL,,SINAL REARME EMERGENCIA
VAR,S_EXP1_RESERVA_Y1_11,Y1.11,BOOL,,RESERVA_Y_1.10
VAR,S_EXP1_RESERVA_Y1_12,Y1.12,BOOL,,RESERVA_Y_1.11
VAR,S_EXP1_RESERVA_Y1_13,Y1.13,BOOL,,RESERVA_Y_1.12
VAR,S_EXP1_RESERVA_Y1_14,Y1.14,BOOL,,RESERVA_Y_1.13
VAR,S_EXP1_RESERVA_Y1_15,Y1.15,BOOL,,RESERVA_Y_1.14
