Define Name,Type,Address,Description
P3_TMORSA_FIX_C,WORD,{PLC}1@%MW15003,PARAMETRO DE TEMPO DE MORSA FIXA FECHADA
P4_TRAVE_TIME,WORD,{PLC}1@%MW15004,PARAMETRO DE TEMPO TRAVE
P5_POS_TIME,WORD,{PLC}1@%MW15005,PARAMETRO DE TEMPO POSICIONADOR
P6_RESERVA_15006,WORD,{PLC}1@%MW15006,RESERVA INT 15006
P7_RESERVA_15007,WORD,{PLC}1@%MW15007,RESERVA INT 15007
P8_TRAVE_POS_EXPULS,WORD,{PLC}1@%MD20000,PARAMETRO POSICAO DE EXPULSAO DE LAYER
P9_DIST_SENS_STOP,WORD,{PLC}1@%MD20001,PARAMETRO DISTANCIA DO SENSOR  ATE A PARADA
P10_JOG_MORSA,WORD,{PLC}1@%MD20002,PARAMETRO DE JOG MORSA
P11_JOG_TRAVE,WORD,{PLC}1@%MD20003,PARAMETRO DE JOG TRAVE
P12_RESERVA_20004,WORD,{PLC}1@%MD20004,RESERVA REAL 20004
P13_RESERVA_20005,WORD,{PLC}1@%MD20005,RESERVA REAL 20005
P14_RESERVA_20006,WORD,{PLC}1@%MD20006,RESERVA REAL 20006
P14_RESERVA_20007,WORD,{PLC}1@%MD20007,RESERVA REAL 20007
R1_QTN_PERF_CAMA,WORD,{PLC}1@%MW800,RECEITA QUANTIDADE DE PERFIL DA CAMADA
R2_QTN_CAMA_CAIXA,WORD,{PLC}1@%MW801,RECEITA QUANTIDADE DE CAMADA NA CAIXA
R3_QTN_CAIXA,WORD,{PLC}1@%MW802,RECEITA QUANTIDADES DE CAIXAS
R_RESERVA_INT_1,WORD,{PLC}1@%MW803,RESCEITA INT RESERVA 0
R_RESERVA_INT_2,WORD,{PLC}1@%MW804,RESCEITA INT RESERVA 1
R_RESERVA_INT_3,WORD,{PLC}1@%MW805,RESCEITA INT RESERVA 2
R_RESERVA_INT_4,WORD,{PLC}1@%MW806,RESCEITA INT RESERVA 3
R_RESERVA_INT_5,WORD,{PLC}1@%MW807,RESCEITA INT RESERVA 4
R4_PASSO_PERFIL,WORD,{PLC}1@%MD2000,RECEITA PASSO PERFIL
R5_PASSO_TRAVE,WORD,{PLC}1@%MD2001,RECEITA PASSO TRAVE
R6_PASSO_ELEVADOR,WORD,{PLC}1@%MD2002,RECEITA PASSO ELEVADOR
R7_PASSO_ESTEIRA,WORD,{PLC}1@%MD2003,RECEITA PASSO ESTEIRA
R8_VELOC_LINHA_M_MIN,WORD,{PLC}1@%MD2004,RECEITA VELOCIDADE DA LINHA EM M/MIN
R_RESERVA_REAL1,WORD,{PLC}1@%MD2005,RECEITA REAL RESERVA 1
R_RESERVA_REAL2,WORD,{PLC}1@%MD2006,RECEITA REAL RESERVA 2
R_RESERVA_REAL3,WORD,{PLC}1@%MD2007,RECEITA REAL RESERVA 3
STS_R1_QTN_PERF_ACT,WORD,{PLC}1@%MW3000,STATUS PECAS ATUAL
STS_R2_QTN_CAMA_ACT,WORD,{PLC}1@%MW3001,STATUS CAMADA ATUAL
STS_R3_QTN_CAIXA_ACT,WORD,{PLC}1@%MW3002,STATUS CAIXAS ATUAL
STS_R1_QTN_PERF_FALTA,WORD,{PLC}1@%MW3003,STATUS PEÇAS QUE FALTAM
STS_R2_QTN_CAMA_FALTA,WORD,{PLC}1@%MW3004,STATUS CAMADAS QUE FALTAM
STS_R3_QTN_CAIXA_FALTA,WORD,{PLC}1@%MW3005,STATUS CAIXAS QUE FALTAM
STS_RES_MW3006,WORD,{PLC}1@%MW3006,STATUS MW RESERVA 3006
STS_RES_MW3007,WORD,{PLC}1@%MW3007,STATUS MW RESERVA 3007
STS_RES_MW3008,WORD,{PLC}1@%MW3008,STATUS MW RESERVA 3008
STS_RES_MW3009,WORD,{PLC}1@%MW3009,STATUS MW RESERVA 3009
STS_RES_MW3010,WORD,{PLC}1@%MW3010,STATUS MW RESERVA 3010
STS_RES_MW3011,WORD,{PLC}1@%MW3011,STATUS MW RESERVA 3011
STS_RES_MW3012,WORD,{PLC}1@%MW3012,STATUS MW RESERVA 3012
STS_RES_MW3013,WORD,{PLC}1@%MW3013,STATUS MW RESERVA 3013
STS_RES_MW3014,WORD,{PLC}1@%MW3014,STATUS MW RESERVA 3014
STS_RES_MW3015,WORD,{PLC}1@%MW3015,STATUS MW RESERVA 3015
STS_TOT_PCS,WORD,{PLC}1@%MD4000,TOTALIZADOR DE PEÇAS EMPACOTADAS
STS_TOT_CAMA,WORD,{PLC}1@%MD4001,TOTALIZADOR DE CAMADAS EMPACOTADAS
STS_TOT_CAIXA,WORD,{PLC}1@%MD4002,TOTALIZADOR DE CAIXAS EMPACOTADAS
STS_ACT_POS_MORSA,WORD,{PLC}1@%MD4003,POSICAO ATUA DA MORSA
STS_ACT_POS_TRAVE,WORD,{PLC}1@%MD4004,POSICAO ATUAL DA TRAVE
STS_ACT_POS_ELEVADOR,WORD,{PLC}1@%MD4005,POSICAO ATUAL ELEVADOR
STS_ACT_POS_ESTEIRA,WORD,{PLC}1@%MD4006,POSICAO ATUAL ESTEIRA
STS_ACT_POS_ENC,WORD,{PLC}1@%MD4007,POSIÇÃO ATUAL DO ENCODER
STS_RES_MD4008,WORD,{PLC}1@%MD4008,STATUS MD RESERVA 4008
STS_RES_MD4009,WORD,{PLC}1@%MD4009,STATUS MD RESERVA 4009
STS_RES_MD4010,WORD,{PLC}1@%MD4010,STATUS MD RESERVA 4010
STS_RES_MD4011,WORD,{PLC}1@%MD4011,STATUS MD RESERVA 4011
STS_RES_MD4012,WORD,{PLC}1@%MD4012,STATUS MD RESERVA 4012
STS_RES_MD4013,WORD,{PLC}1@%MD4013,STATUS MD RESERVA 4013
STS_RES_MD4014,WORD,{PLC}1@%MD4014,STATUS MD RESERVA 4014
STS_RES_MD4015,WORD,{PLC}1@%MD4015,STATUS MD RESERVA 4015
