Define Name,Type,Address,Description
P1_TMORSA_MOV_O,WORD,{PLC}1@%MW10000,PARAMETRO DE TEMPO DE MORSA  MOV ABERTA
P2_TMORSA_MOV_C,WORD,{PLC}1@%MW10001,PARAMETRO DE TEMPO DE MORSA MOV FECHADA
P3_TMORSA_FIX_O,WORD,{PLC}1@%MW10002,PARAMETRO DE TEMPO DE MORSA FIXA ABERTA
P4_TMORSA_FIX_C,WORD,{PLC}1@%MW10003,PARAMETRO DE TEMPO DE MORSA FIXA FECHADA
P_RESERVA_10004,WORD,{PLC}1@%MW10004, RESERVA 10004
P_RESERVA_10005,WORD,{PLC}1@%MW10005, RESERVA 10005
P_RESERVA_10006,WORD,{PLC}1@%MW10006, RESERVA 10006
P_RESERVA_10007,WORD,{PLC}1@%MW10007, RESERVA 10007
REC_LAYERS_PACOTE,WORD,{PLC}1@%MW10008,RECEITA LAYERS PACOTE
REC_LAYERS_FARDO,WORD,{PLC}1@%MW10009,RECEITA LAYERS PACOTE
REC_RESERVA_10010,WORD,{PLC}1@%MW10010,RECEITA RESERVA 10010
REC_RESERVA_10011,WORD,{PLC}1@%MW10011,RECEITA RESERVA 10011
REC_RESERVA_10012,WORD,{PLC}1@%MW10012,RECEITA RESERVA 10012
REC_RESERVA_10013,WORD,{PLC}1@%MW10013,RECEITA RESERVA 10013
REC_RESERVA_10014,WORD,{PLC}1@%MW10014,RECEITA RESERVA 10014
REC_RESERVA_10015,WORD,{PLC}1@%MW10015,RECEITA RESERVA 10015
P6_HOME_POS_MORSA,WORD,{PLC}1@%MD20000,PARAMETRO POSICAO DE HOME MORSA
P7_HOME_POS_TRAVE,WORD,{PLC}1@%MD20001,PARAMETRO POSICAO DE HOME TRAVE
P8_HOME_POS_ELEVAD,WORD,{PLC}1@%MD20002,PARAMETRO POSICAO DE HOME ELEVADOR
P9_TRAVE_POS_EXPULS,WORD,{PLC}1@%MD20003,PARAMETRO POSICAO DE EXPULSAO DE LAYER
P10_DIST_SENS_STOP,WORD,{PLC}1@%MD20004,PARAMETRO DISTANCIA DO SENSOR  NO MOTOR
P_RESERVA_20005,WORD,{PLC}1@%MD20005,PARAMETRO RESERVA 20005
P_RESERVA_20006,WORD,{PLC}1@%MD20006,PARAMETRO RESERVA 20006
P_RESERVA_20007,WORD,{PLC}1@%MD20007,PARAMETRO RESERVA 20007
REC_PASSO_PERFIL,WORD,{PLC}1@%MD20008,RECEITA PASSO PERFIL
REC_PASSO_TRAVE,WORD,{PLC}1@%MD20009,RECEITA PASSO TRAVE
REC_PASSO_ELEVADOR,WORD,{PLC}1@%MD20010,RECEITA PASSO ELEVADOR
REC_PASSO_ESTEIRA,WORD,{PLC}1@%MD20011,RECEITA PASSO ESTEIRA
REC_RESERVA_20012,WORD,{PLC}1@%MD20012,RECEITA RESERVA 20012
REC_RESERVA_20013,WORD,{PLC}1@%MD20013,RECEITA RESERVA 20013
REC_RESERVA_20014,WORD,{PLC}1@%MD20014,RECEITA RESERVA 20014
REC_RESERVA_20015,WORD,{PLC}1@%MD20015,RECEITA RESERVA 20015
